39.44479; (0.315130,1.446842,-0.813204); (0.519578,-0.550768,-0.557890,0.339784)
39.45597; (0.313750,1.428131,-0.821003); (0.497812,-0.550089,-0.569428,0.354029)
39.46733; (0.312618,1.409704,-0.827834); (0.480317,-0.543117,-0.585910,0.361979)
39.47831; (0.312556,1.391922,-0.834256); (0.464604,-0.534646,-0.601783,0.368991)
39.4896; (0.314729,1.374815,-0.839463); (0.454615,-0.520342,-0.620966,0.370096)
39.5009; (0.316229,1.359376,-0.844004); (0.448491,-0.504680,-0.639391,0.367877)
39.51176; (0.319321,1.345649,-0.847095); (0.444530,-0.489540,-0.656541,0.362901)
39.52296; (0.322609,1.333084,-0.849874); (0.442287,-0.475897,-0.670138,0.358915)
39.53421; (0.325678,1.320598,-0.851542); (0.437031,-0.464738,-0.679789,0.361816)
39.54566; (0.330085,1.308278,-0.852214); (0.427731,-0.455705,-0.688068,0.368703)
39.55695; (0.333957,1.296357,-0.852832); (0.417222,-0.448895,-0.693755,0.378316)
39.56811; (0.338888,1.285845,-0.850962); (0.401743,-0.447922,-0.692795,0.397497)
39.57884; (0.343553,1.275916,-0.849788); (0.390629,-0.443053,-0.694914,0.410131)
39.59036; (0.347867,1.268500,-0.847074); (0.384546,-0.437816,-0.695447,0.420470)
39.60125; (0.350972,1.263779,-0.844021); (0.384155,-0.434614,-0.693280,0.427666)

41.16483; (0.425334,1.214412,-0.914488); (0.675432,-0.088861,-0.719842,-0.133128)
41.17602; (0.423472,1.215732,-0.912834); (0.679300,-0.093856,-0.715276,-0.134624)
41.18722; (0.422391,1.216792,-0.910258); (0.685362,-0.100686,-0.709069,-0.131769)
41.19818; (0.421261,1.218217,-0.907654); (0.689241,-0.105484,-0.704601,-0.131748)
41.20948; (0.419999,1.219111,-0.904562); (0.694508,-0.111215,-0.699184,-0.128185)
41.22074; (0.418894,1.220338,-0.901245); (0.699624,-0.117062,-0.693366,-0.126751)
41.23182; (0.418077,1.221833,-0.896488); (0.705201,-0.121314,-0.686214,-0.130711)
41.24305; (0.417722,1.223234,-0.891096); (0.711889,-0.119849,-0.677590,-0.140431)
41.25422; (0.417926,1.224429,-0.884269); (0.719009,-0.116114,-0.668256,-0.151582)
41.26543; (0.418317,1.225112,-0.877097); (0.725505,-0.112920,-0.659561,-0.160848)
41.27673; (0.419381,1.225919,-0.870047); (0.732001,-0.111391,-0.650995,-0.167251)
41.28787; (0.421451,1.225623,-0.862312); (0.740157,-0.111155,-0.641042,-0.169932)
41.29904; (0.423979,1.225317,-0.854236); (0.748698,-0.112200,-0.630761,-0.170303)
41.31004; (0.427580,1.225062,-0.845647); (0.757875,-0.112822,-0.619569,-0.170384)
41.32143; (0.431551,1.224350,-0.837647); (0.766085,-0.112439,-0.609162,-0.171444)
41.33263; (0.436080,1.223410,-0.829662); (0.772858,-0.108385,-0.600706,-0.173479)
41.34353; (0.441566,1.222303,-0.822150); (0.778955,-0.101745,-0.592464,-0.178506)
41.35473; (0.448270,1.221082,-0.813779); (0.784488,-0.093662,-0.584337,-0.185356)
41.36611; (0.454982,1.220145,-0.805568); (0.790102,-0.087562,-0.576065,-0.190321)
41.3771; (0.462706,1.218760,-0.797784); (0.795746,-0.083680,-0.568224,-0.192114)
41.38873; (0.471203,1.217573,-0.789714); (0.801427,-0.082932,-0.561282,-0.189207)
41.39984; (0.480621,1.216407,-0.781429); (0.807521,-0.083720,-0.553988,-0.184385)
41.41073; (0.490656,1.215420,-0.772494); (0.813821,-0.084822,-0.545854,-0.180397)
41.42209; (0.500408,1.214589,-0.763939); (0.820081,-0.085466,-0.537012,-0.178273)
41.43336; (0.512604,1.213959,-0.753646); (0.827053,-0.088353,-0.526761,-0.175217)
41.44437; (0.523703,1.213203,-0.744231); (0.833712,-0.089849,-0.517018,-0.171884)
41.45536; (0.536280,1.212384,-0.733618); (0.840752,-0.091408,-0.506632,-0.167645)
41.46645; (0.549145,1.211424,-0.722854); (0.847500,-0.091673,-0.496394,-0.164114)
41.47754; (0.562265,1.210733,-0.712135); (0.854285,-0.091924,-0.485820,-0.160393)
41.48894; (0.577281,1.209754,-0.699899); (0.862452,-0.090925,-0.472555,-0.156845)
41.49992; (0.592193,1.209098,-0.687805); (0.870718,-0.090089,-0.458177,-0.154300)
41.51105; (0.607973,1.209005,-0.675139); (0.880042,-0.089662,-0.440840,-0.152143)
41.52284; (0.624749,1.208675,-0.662276); (0.889110,-0.089761,-0.422975,-0.150065)
41.53384; (0.643579,1.209552,-0.648889); (0.899235,-0.092346,-0.401730,-0.146499)
41.54494; (0.660505,1.210522,-0.637495); (0.907501,-0.094133,-0.383663,-0.142770)
41.55581; (0.679708,1.211644,-0.625990); (0.915700,-0.096283,-0.364445,-0.139294)
41.56707; (0.698149,1.212788,-0.615853); (0.922837,-0.097074,-0.346680,-0.136970)
41.57815; (0.717084,1.214055,-0.606563); (0.929536,-0.096828,-0.328558,-0.136516)
41.58925; (0.736329,1.214617,-0.598819); (0.935161,-0.091656,-0.311323,-0.141956)
41.601; (0.754426,1.215119,-0.591079); (0.940539,-0.088413,-0.294468,-0.144421)
41.6117; (0.772639,1.216420,-0.584921); (0.945193,-0.087740,-0.278065,-0.146941)
41.62276; (0.790746,1.217991,-0.580365); (0.949536,-0.091840,-0.260387,-0.148814)
41.63412; (0.807722,1.219299,-0.575923); (0.953871,-0.097088,-0.242573,-0.147858)
41.64527; (0.825128,1.220709,-0.572707); (0.958198,-0.102053,-0.223936,-0.145928)
41.6565; (0.841629,1.222210,-0.569293); (0.961915,-0.105805,-0.206007,-0.145213)
41.6674; (0.857086,1.223314,-0.567064); (0.964822,-0.109497,-0.189931,-0.145108)
41.679; (0.872888,1.225299,-0.565444); (0.966998,-0.112694,-0.175001,-0.146935)
41.69007; (0.885833,1.226289,-0.565591); (0.968692,-0.114620,-0.164031,-0.146942)

43.56659; (0.428399,1.281149,-0.900952); (0.573989,-0.412619,-0.686549,0.170099)
43.57785; (0.429350,1.281604,-0.900786); (0.572937,-0.413388,-0.687103,0.169539)
43.58925; (0.430423,1.282275,-0.900453); (0.572564,-0.413788,-0.687516,0.168144)
43.60048; (0.431453,1.282807,-0.899755); (0.573376,-0.412201,-0.688155,0.166654)
43.61144; (0.432015,1.283464,-0.898781); (0.574176,-0.410927,-0.688509,0.165580)
43.6226; (0.432947,1.284201,-0.898414); (0.574077,-0.411303,-0.688572,0.164725)
43.6338; (0.433693,1.285262,-0.897927); (0.572348,-0.412662,-0.689334,0.164158)
43.64507; (0.434413,1.286161,-0.897476); (0.571576,-0.410836,-0.691676,0.161553)
43.65622; (0.435456,1.288096,-0.897031); (0.571494,-0.406228,-0.695616,0.156496)
43.667; (0.436782,1.290893,-0.895952); (0.572124,-0.401846,-0.699054,0.150060)
43.67828; (0.438099,1.294553,-0.894458); (0.573480,-0.399926,-0.700307,0.144051)
43.68942; (0.439396,1.298177,-0.893128); (0.574600,-0.400028,-0.700256,0.139478)
43.70108; (0.440985,1.303111,-0.891060); (0.576485,-0.401493,-0.698913,0.134123)
43.71189; (0.442945,1.309053,-0.888402); (0.579880,-0.401668,-0.697300,0.127180)
43.72303; (0.444174,1.315574,-0.885595); (0.584249,-0.402697,-0.694554,0.118678)
43.73423; (0.445768,1.322263,-0.882426); (0.587401,-0.404789,-0.691843,0.111620)
43.74522; (0.447469,1.328998,-0.879223); (0.590062,-0.407302,-0.689128,0.105049)
43.7566; (0.449445,1.336685,-0.875551); (0.592391,-0.413168,-0.684364,0.100061)
43.76774; (0.451642,1.345137,-0.871439); (0.594834,-0.419948,-0.678718,0.095697)
43.77875; (0.454339,1.354312,-0.866662); (0.599120,-0.425233,-0.672439,0.089765)
43.79033; (0.457091,1.362978,-0.862209); (0.604182,-0.428998,-0.666388,0.082783)
43.80148; (0.460397,1.373595,-0.856209); (0.612029,-0.432691,-0.658053,0.071872)
43.81216; (0.463892,1.383430,-0.851015); (0.618536,-0.436606,-0.650349,0.061928)
43.82389; (0.468161,1.394087,-0.845040); (0.625860,-0.439045,-0.642876,0.047430)
43.83499; (0.472403,1.404539,-0.839167); (0.632336,-0.441553,-0.635654,0.033563)
43.85435; (0.478774,1.415596,-0.832581); (0.641588,-0.442412,-0.626357,0.017725)
43.86344; (0.488004,1.432611,-0.821549); (0.654730,-0.445450,-0.610627,-0.006144)
43.87301; (0.494222,1.441632,-0.815352); (0.663066,-0.444773,-0.601642,-0.023390)
43.88264; (0.499759,1.450082,-0.809742); (0.669905,-0.445003,-0.593066,-0.038388)
